,LABB.MX,GENTERA.MX,WMT.MX
2011-05-12,24.435556411743164,15.414294242858887,631.29443359375
2011-05-13,24.435556411743164,15.710992813110352,641.1560668945312
2011-05-16,25.569435119628906,15.809890747070312,641.5151977539062
2011-05-17,25.569435119628906,15.760442733764648,645.7158203125
2011-05-18,25.569435119628906,15.951175689697266,645.7158203125
2011-05-19,25.569435119628906,15.937053680419922,635.9568481445312
2011-05-20,25.569435119628906,15.703927993774414,635.9568481445312
2011-05-23,25.569435119628906,15.491998672485352,638.2686767578125
2011-05-24,25.569435119628906,15.449615478515625,638.2686767578125
2011-05-25,24.734407424926758,15.230623245239258,638.2686767578125
2011-05-26,25.50790786743164,15.703927993774414,638.2686767578125
2011-05-27,25.516698837280273,15.958242416381836,625.0961303710938
2011-05-30,25.534276962280273,15.852279663085938,625.0961303710938
